County,Precinct,Registered Voters,Fani Willis (Dem)_Election Day Votes,Fani Willis (Dem)_Advanced Voting Votes,Fani Willis (Dem)_Absentee by Mail Votes,Fani Willis (Dem)_Provisional Votes,Fani Willis (Dem)_Choice Total,Total Votes
Fulton,SS09B,3611.0,114.0,1281.0,749.0,2.0,2146.0,2146.0
Fulton,SS11A,4026.0,284.0,1294.0,596.0,10.0,2184.0,2184.0
Fulton,SS11B,1412.0,102.0,446.0,206.0,1.0,755.0,755.0
Fulton,SS11C,361.0,30.0,117.0,28.0,1.0,176.0,176.0
Fulton,SS11D,397.0,16.0,144.0,85.0,0.0,245.0,245.0
Fulton,SS12,2897.0,137.0,967.0,555.0,9.0,1668.0,1668.0
Fulton,SS13A,2103.0,120.0,706.0,319.0,3.0,1148.0,1148.0
Fulton,SS13B,1278.0,82.0,487.0,158.0,1.0,728.0,728.0
Fulton,SS14,1412.0,64.0,511.0,258.0,1.0,834.0,834.0
Fulton,SS15A,2756.0,251.0,833.0,276.0,5.0,1365.0,1365.0
Fulton,SS15B,1730.0,172.0,543.0,203.0,2.0,920.0,920.0
Fulton,SS16,2116.0,85.0,701.0,483.0,2.0,1271.0,1271.0
Fulton,SS17,3686.0,227.0,1131.0,591.0,15.0,1964.0,1964.0
Fulton,SS18A,657.0,28.0,229.0,127.0,0.0,384.0,384.0
Fulton,SS18B,241.0,7.0,76.0,48.0,0.0,131.0,131.0
Fulton,SS19A,3299.0,180.0,1120.0,410.0,9.0,1719.0,1719.0
Fulton,SS19B,2342.0,118.0,870.0,328.0,85.0,1401.0,1401.0
Fulton,SS20,2404.0,163.0,712.0,356.0,9.0,1240.0,1240.0
Fulton,SS22,2834.0,161.0,700.0,450.0,3.0,1314.0,1314.0
Fulton,SS26,3824.0,250.0,1289.0,391.0,16.0,1946.0,1946.0
Fulton,SS29A,2842.0,156.0,970.0,484.0,6.0,1616.0,1616.0
Fulton,SS31,1703.0,72.0,582.0,312.0,0.0,966.0,966.0
Fulton,UC01A,4234.0,330.0,1225.0,335.0,12.0,1902.0,1902.0
Fulton,UC01B,428.0,39.0,145.0,31.0,5.0,220.0,220.0
Fulton,UC01D,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Fulton,UC01E,512.0,42.0,269.0,72.0,0.0,383.0,383.0
Fulton,UC02A,5609.0,329.0,2187.0,1134.0,18.0,3668.0,3668.0
Fulton,UC02B,32.0,2.0,12.0,3.0,0.0,17.0,17.0
Fulton,UC02C,3614.0,149.0,1232.0,129.0,15.0,1525.0,1525.0
Fulton,UC031,2745.0,159.0,666.0,443.0,26.0,1294.0,1294.0
Fulton,UC032,393.0,20.0,139.0,75.0,1.0,235.0,235.0
